type,name,description,link,owner,image
playlist,Classical Bangers 🎹🎻,"Best classical music to study, chill, and relax. From Bach, Mozart, Vivaldi, Beethoven, Chopin, Debussy, Satie, Tchaikovsky, to Christmas Classics. Peaceful piano to Orchestras from Baroque to Romantic and Modern. From opera to chamber to symphony, all in one playlist. Only the best. Enjoy!",https://open.spotify.com/playlist/27Zm1P410dPfedsdoO9fqm,Classical Bangers,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da849b3dc77fb1feef87db8736dc
playlist,World’s Best Christmas Playlist,Best compilation Christmas songs on the planet!!,https://open.spotify.com/playlist/1zOEqfxkCekU1Y6nZoeuyI,Henry Janzen,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72ca4868d2b7b9ead5ce1cad182
playlist,Christmas Songs for Kids 2025 🎄🎅⛄️,Get ready to jingle all the way into the festive spirit with this fun Christmas playlist! (Little Rainbow Playlists 2025),https://open.spotify.com/playlist/1Pt4moXoIlkfMKf3Cxk9Ih,Little Rainbow,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8425b562dfc8218b78eb562071
playlist,Popular Christmas Songs ❄️🎄,turamaallen@gmail.com,https://open.spotify.com/playlist/7l4sdtYsHVypensTVz8rb3,Lauren,https://mosaic.scdn.co/640/ab67616d00001e02119e4094f07a8123b471ac1dab67616d00001e024246e3158421f5abb75abc4fab67616d00001e026d88028a85c771f37374c8eaab67616d00001e02f255b4346b93e3397e96d40f
playlist,100 Greatest Driving Songs,"The perfect companion to fuel your winter road trip over thanksgiving, christmas and holiday season. Over six hours of classic rock anthems to sing in the car! ",https://open.spotify.com/playlist/2a1A4HSQo3ye4wJAPM2I2l,Topsify UK,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da848782ee1433d0c4acf979fce2
playlist,Kids Christmas Music 🎄 2024,"Classic Merry Xmas songs for children, in a family collection of the best holiday carols for a fun, playful &amp; festive spirit. Santa Claus, Jingle Bells, Rudolph, Frosty, Hippopotamus, Feliz Navidad, and more.",https://open.spotify.com/playlist/5dR4HrRaQTxpG3welAesru,Filtr Christmas Sweden,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da840d4d9c5cd72ceae2ad1cb5ec
playlist,Christmas Playlist 2025🎄,"Best Christmas playlist, classic songs, background popular holiday music, good holiday vibes only, winter wonderland vibes, santa, gifts, stockings, snow, cold, cozy tunes",https://open.spotify.com/playlist/7awVFZ11ewVYCk0KyMYCka,Holiday Vibes,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72c16f3ef0452accc6bd012d4a4
playlist,The Very Best of George Michael,"the greatest hits: Freedom, Faith, Fastlove, Wake Me Up Before You Go Go, Careless Whisper, Last Christmas",https://open.spotify.com/playlist/1hh7coBSFXOCPp8pBmWp3c,Serge,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72cdc4750aa7c00bfeef7f797bd
playlist,All of Victorious songs,"contains; Leave it all to shine, LA Boyz, give it up, and take a hint...also some Christmas songs from Victorious 😌",https://open.spotify.com/playlist/7LTZFzK1fYQRvN95e6VYzQ,Lyn,https://mosaic.scdn.co/640/ab67616d00001e024a288ebe4e76c2d405049540ab67616d00001e02c21bd3065630998bcd1e92acab67616d00001e02cc16ea4bbfbb0e92e97317b3ab67616d00001e02f7b2662bde29f224c3a0ecd8
playlist,every taylor swift song (without remixes or lives),"Every Taylor Swift song in order, excluding her christmas songs, remixes, and live recordings.",https://open.spotify.com/playlist/30FhCIJEmgZPM4Kupy50qj,Maddy,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84004cd8564b8f69ebf22a35d0
playlist,Aussie Christmas songs ,,https://open.spotify.com/playlist/0zdkyCY03HpAUSXfMJ9qOO,Ashlea Bolland,https://mosaic.scdn.co/640/ab67616d00001e0208695794e985371bb21f342aab67616d00001e0223198f53db0e770ec9a31500ab67616d00001e02816f1cb0a8cd81fc69bbc3aeab67616d00001e02c008ef85518923c2c3b3b1be
playlist,Christmas Pop Hits 2024,"Christmas pop songs from your favorite pop artists! Find Christmas pop songs from Ariana Grande, Justin Bieber, and more here! Cover: Ariana Grande",https://open.spotify.com/playlist/3xBge5SNGrYMf8QNF1cKqi,Digster Global,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da846d66fa152d2e8a30180b822d
playlist,Grinch Christmas ,From The Grinch Movie ,https://open.spotify.com/playlist/2LgPaT3iHKoEttX3XHPhrK,Kenzie,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8493ccfa0ea56b24d537488987
